Date, Open, High, Low, Close, Volume
10/29/19, 63.998, 64.86, 62.95, 63.244, 63421349.0486798
10/28/19, 65.508, 68.168, 64.52, 65.542, 94351443.5847284
10/25/19, 59.544, 66.00, 59.222, 65.626, 150030447.749543
10/24/19, 59.674, 60.986, 57.84, 59.936, 149096147.763558
10/23/19, 50.90, 51.228, 50.27, 50.936, 56080899.1587865
10/22/19, 50.864, 51.666, 50.17, 51.116, 23125474.6531179
10/21/19, 51.666, 51.90, 50.036, 50.70, 25540504.6168924
10/18/19, 52.14, 52.56, 51.02, 51.39, 28768329.5684751
10/17/19, 52.50, 52.956, 52.034, 52.394, 23895214.6415718
10/16/19, 51.478, 52.42, 51.384, 51.95, 33521514.4971773
10/15/19, 51.54, 52.00, 50.824, 51.578, 32397279.5140408
10/14/19, 49.58, 51.71, 49.426, 51.392, 51134299.2329855
10/11/19, 49.43, 50.216, 49.362, 49.578, 42440794.3633881
10/10/19, 49.056, 49.856, 48.316, 48.948, 31567084.5264937
10/09/19, 48.264, 49.459, 48.13, 48.906, 34675164.4798725
10/08/19, 47.174, 48.788, 46.90, 48.01, 43511689.3473247
10/07/19, 45.96, 47.712, 45.71, 47.544, 40434784.3934782
10/04/19, 46.322, 46.956, 45.614, 46.286, 40105899.3984115
10/03/19, 46.372, 46.896, 44.856, 46.606, 75688798.864668
10/02/19, 48.658, 48.93, 47.886, 48.626, 31282739.5307589
10/01/19, 48.30, 49.19, 47.826, 48.938, 30981449.5352783
09/30/19, 48.60, 48.796, 47.2222, 48.174, 29730804.5540379
09/27/19, 48.44, 49.742, 47.746, 48.426, 55615899.1657615
09/26/19, 46.132, 48.662, 45.48, 48.512, 60393949.0940908
09/25/19, 44.912, 45.796, 43.672, 45.74, 47221429.2916786
09/24/19, 48.304, 48.398, 44.522, 44.642, 64705549.0294168
09/23/19, 48.00, 49.0359, 47.844, 48.246, 21958149.6706278
09/20/19, 49.298, 49.3892, 47.632, 48.124, 32531319.5120302
09/19/19, 49.20, 49.588, 48.968, 49.32, 24415674.6337649
09/18/19, 49.00, 49.6337, 48.474, 48.698, 21140514.6828923
09/17/19, 48.494, 49.12, 48.074, 48.958, 19734544.7039818
09/16/19, 49.20, 49.486, 48.234, 48.562, 23640479.6453928
09/13/19, 49.392, 49.69, 48.973, 49.04, 26565724.6015141
09/12/19, 49.54, 50.70, 48.88, 49.174, 42906049.3564093
09/11/19, 47.476, 49.6348, 47.20, 49.42, 50213899.2467915
09/10/19, 46.16, 47.108, 45.788, 47.108, 24418569.6337215
09/09/19, 46.00, 46.752, 45.846, 46.358, 24013344.6397998
09/06/19, 45.44, 45.928, 45.034, 45.49, 20946859.6857971
09/05/19, 44.50, 45.96, 44.17, 45.916, 37016604.4447509
09/04/19, 45.378, 45.692, 43.841, 44.136, 28843479.5673478
09/03/19, 44.816, 45.79, 44.632, 45.002, 26802729.5979591
08/30/19, 45.83, 46.488, 44.8426, 45.122, 46638874.3004169
08/29/19, 43.80, 44.68, 43.60, 44.342, 25915519.6112672
08/28/19, 42.738, 43.45, 42.462, 43.118, 16193124.7571031
08/27/19, 43.148, 43.76, 42.406, 42.816, 27103634.5934455
08/26/19, 42.72, 43.004, 42.308, 43.00, 25272069.620919
08/23/19, 43.994, 44.234, 42.20, 42.28, 42798519.3580222
08/22/19, 44.56, 45.08, 43.644, 44.43, 32824819.5076277
08/21/19, 44.402, 44.644, 43.52, 44.166, 38998719.4150192
08/20/19, 45.524, 45.818, 44.908, 45.172, 20852634.6872105
08/19/19, 44.842, 45.566, 44.34, 45.366, 26558739.6016189
08/16/19, 43.332, 44.448, 43.204, 43.988, 26036879.6094468
08/15/19, 44.172, 44.312, 42.31, 43.128, 41159759.3826036
08/14/19, 46.242, 46.30, 43.338, 43.924, 47812954.2828057
08/13/19, 45.762, 47.20, 45.51, 47.00, 24344989.6348252
08/12/19, 46.598, 47.154, 45.75, 45.802, 23319684.6502047
08/09/19, 47.2108, 47.792, 46.762, 47.002, 19491219.7076317
08/08/19, 46.89, 47.96, 46.53, 47.66, 26371744.6044238
08/07/19, 45.30, 46.7138, 45.16, 46.684, 23882499.6417625
08/06/19, 46.376, 46.50, 45.15, 46.15, 27820999.582685
08/05/19, 45.92, 46.2735, 45.155, 45.664, 35141394.4728791
08/02/19, 46.27, 47.254, 45.846, 46.868, 30682404.5397639
08/01/19, 48.53, 48.902, 46.354, 46.77, 41297579.3805363
07/31/19, 48.60, 49.336, 47.33, 48.322, 45891039.3116344
07/30/19, 46.58, 48.672, 46.436, 48.452, 40545069.391824
07/29/19, 45.418, 47.188, 45.2065, 47.154, 46366654.3045002
07/26/19, 45.384, 46.052, 44.45, 45.608, 50138499.2479225
07/25/19, 46.70, 46.90, 45.11, 45.764, 112091248.318631
07/24/19, 51.834, 53.214, 51.632, 52.976, 55364199.169537
07/23/19, 51.342, 52.096, 50.90, 52.034, 25115604.6232659
07/22/19, 51.75, 52.431, 50.8382, 51.136, 34231364.4865295
07/19/19, 51.138, 51.992, 50.924, 51.636, 35242049.4713693
07/18/19, 51.01, 51.15, 50.377, 50.708, 23822414.6426638
07/17/19, 51.134, 51.662, 50.67, 50.972, 48823634.2676455
07/16/19, 49.86, 50.706, 49.5865, 50.476, 40744944.3888258
07/15/19, 49.60, 50.884, 48.972, 50.70, 55000449.1749933
07/12/19, 47.95, 49.076, 47.942, 49.016, 46002604.3099609
07/11/19, 47.628, 48.30, 47.16, 47.72, 37572149.4364178
07/10/19, 46.83, 47.788, 46.628, 47.784, 45728679.3140698
07/09/19, 45.794, 46.20, 45.456, 46.012, 30954174.5356874
07/08/19, 46.248, 46.45, 45.732, 46.068, 29402709.5589594
07/05/19, 46.914, 47.09, 46.16, 46.62, 35328684.4700697
07/03/19, 47.878, 48.314, 46.902, 46.98, 71005753.9349137
07/02/19, 45.778, 45.83, 44.444, 44.91, 46295134.305573
07/01/19, 46.042, 46.6199, 45.256, 45.434, 41189819.3821527
06/28/19, 44.198, 45.034, 44.16, 44.692, 34256919.4861462
06/27/19, 43.89, 44.58, 43.47, 44.568, 31698549.5245218
06/26/19, 44.062, 45.446, 43.62, 43.854, 42536039.3619594
06/25/19, 44.878, 45.068, 43.898, 43.952, 30910354.5363447
06/24/19, 44.648, 45.172, 44.204, 44.728, 28753854.5686922
06/21/19, 43.244, 44.436, 43.10, 44.372, 41010384.3848442
06/20/19, 44.60, 45.38, 43.27, 43.924, 59317299.1102405
06/19/19, 45.022, 45.554, 44.212, 45.286, 32875674.5068649
06/18/19, 45.744, 46.948, 44.512, 44.948, 63578949.0463158
06/17/19, 43.096, 45.40, 42.854, 45.006, 61583999.07624
06/14/19, 42.25, 43.33, 42.08, 42.984, 37167004.4424949
06/13/19, 42.076, 42.98, 41.5021, 42.782, 40841299.3873805
06/12/19, 44.59, 44.676, 41.80, 41.852, 75987693.8601846
06/11/19, 43.8288, 44.18, 42.70, 43.42, 58267699.1259845
06/10/19, 42.05, 43.388, 41.802, 42.576, 52925199.206122
06/07/19, 41.00, 42.1688, 40.6998, 40.90, 80017648.7997353
06/06/19, 40.888, 42.20, 40.36, 41.19, 101210748.481839
06/05/19, 39.736, 40.2556, 38.3697, 39.318, 67553798.986693
06/04/19, 36.22, 38.796, 35.922, 38.72, 69037598.964436
06/03/19, 37.102, 37.336, 35.3984, 35.794, 65322049.0201693
05/31/19, 37.02, 37.9841, 36.82, 37.032, 52033649.2194953
05/30/19, 37.75, 38.451, 37.404, 37.644, 39632379.4055143
05/29/19, 37.42, 38.478, 37.008, 37.972, 59843199.102352
05/28/19, 38.24, 39.00, 37.57, 37.74, 51564499.2265325
05/24/19, 39.966, 39.996, 37.7501, 38.126, 70682848.9397572
05/23/19, 38.868, 39.893, 37.244, 39.098, 132735703.008964
05/22/19, 39.82, 40.788, 38.356, 38.546, 93425943.5986108
05/21/19, 39.552, 41.48, 39.208, 41.016, 90019498.6497075
05/20/19, 40.56, 41.20, 39.05, 41.072, 102630993.460535
05/17/19, 44.392, 44.448, 41.784, 42.206, 88933348.6659998
05/16/19, 45.898, 46.20, 45.30, 45.666, 37416364.4387545
05/15/19, 45.864, 46.488, 45.05, 46.39, 36479879.4528018
05/14/19, 45.86, 46.90, 45.60, 46.462, 36262059.4560691
05/13/19, 46.402, 46.494, 44.90, 45.402, 54173999.18739
05/10/19, 47.95, 48.398, 47.204, 47.904, 35041679.4743748
05/09/19, 48.40, 48.736, 47.3887, 48.396, 33556904.4966464
05/08/19, 49.388, 50.1198, 48.84, 48.968, 30882199.536767
05/07/19, 51.36, 51.442, 49.02, 49.412, 50657049.2401443
05/06/19, 50.004, 51.67, 49.70, 51.068, 54169699.1874545
05/03/19, 48.772, 51.322, 48.698, 51.006, 118533848.221992
05/02/19, 49.104, 49.426, 47.544, 48.82, 90796698.6380495
05/01/19, 47.77, 48.00, 46.30, 46.802, 53521749.1971738
04/30/19, 48.412, 48.842, 47.40, 47.738, 47323139.2901529
04/29/19, 47.172, 48.796, 46.434, 48.294, 83572398.746414
04/26/19, 49.30, 49.336, 46.226, 47.028, 111803553.322947
04/25/19, 51.00, 51.80, 49.214, 49.526, 109246953.361296
04/24/19, 52.77, 53.064, 51.60, 51.732, 53637249.1954413
04/23/19, 52.03, 53.12, 51.15, 52.78, 54719299.1792105
04/22/19, 53.80, 53.936, 52.496, 52.55, 60735699.0889645
04/18/19, 54.246, 54.968, 53.95, 54.652, 29381624.5592756
04/17/19, 54.95, 54.958, 53.707, 54.246, 25632339.6155149
04/16/19, 53.15, 55.00, 52.944, 54.672, 36364649.4545303
04/15/19, 53.726, 53.776, 51.726, 53.276, 50192899.2471065
04/12/19, 54.044, 54.39, 53.366, 53.54, 33729869.494052
04/11/19, 53.66, 54.10, 53.12, 53.684, 49179634.2623055
04/10/19, 55.348, 55.676, 54.5785, 55.212, 35306564.4704015
04/09/19, 54.33, 55.00, 53.922, 54.462, 29520154.5571977
04/08/19, 55.538, 56.232, 54.088, 54.64, 52052199.219217
04/05/19, 53.972, 55.22, 53.222, 54.992, 65191299.0221305
04/04/19, 52.378, 54.24, 52.118, 53.556, 118603648.220945
04/03/19, 57.464, 59.234, 57.434, 58.362, 39649319.4052602
04/02/19, 57.66, 57.888, 56.776, 57.176, 27394699.5890795
04/01/19, 56.524, 57.84, 56.2562, 57.836, 40552194.3917171
03/29/19, 55.74, 56.032, 54.90, 55.972, 29956689.5506497
03/28/19, 55.432, 56.066, 55.02, 55.724, 33870464.491943
03/27/19, 53.75, 55.074, 53.6368, 54.966, 43895829.3415626
03/26/19, 52.888, 54.052, 52.886, 53.554, 36754739.4486789
03/25/19, 51.942, 52.636, 50.892, 52.084, 51075149.2338728
03/22/19, 54.516, 54.56, 52.80, 52.906, 43728044.3440793
03/21/19, 54.52, 55.29, 53.69, 54.804, 29735489.5539677
03/20/19, 53.938, 54.994, 53.26, 54.72, 34541119.4818832
03/19/19, 53.50, 54.66, 52.692, 53.494, 59003149.1149528
03/18/19, 55.20, 55.61, 53.46, 53.898, 51404899.2289265
03/15/19, 56.702, 56.7449, 54.88, 55.086, 73927648.8910853
03/14/19, 58.49, 59.078, 57.658, 57.992, 35517234.4672415
03/13/19, 56.78, 58.398, 56.54, 57.792, 34223599.486646
03/12/19, 57.298, 57.614, 56.212, 56.672, 37520684.4371897
03/11/19, 56.704, 58.256, 56.10, 58.184, 36961384.4455792
03/08/19, 55.382, 57.118, 55.178, 56.828, 44098124.3385281
03/07/19, 55.768, 56.94, 54.85, 55.318, 47212414.2918138
03/06/19, 55.296, 56.3012, 54.878, 55.248, 51677449.2248383
03/05/19, 56.40, 56.80, 54.02, 55.308, 93823698.5926445
03/04/19, 59.624, 59.80, 56.556, 57.072, 85484098.7177385
03/01/19, 61.388, 61.426, 58.38, 58.958, 114556903.281646
02/28/19, 63.784, 64.00, 62.162, 63.976, 52603249.2109513
02/27/19, 60.356, 63.259, 60.11, 62.948, 55919549.1612068
02/26/19, 58.444, 60.402, 57.754, 59.572, 42912674.3563099
02/25/19, 59.582, 60.5809, 59.4001, 59.754, 33132609.5030109
02/22/19, 58.898, 59.30, 58.42, 58.942, 28702789.5694582
02/21/19, 60.362, 60.648, 58.10, 58.246, 44545909.3318114
02/20/19, 60.882, 61.26, 59.80, 60.512, 35710584.4643412
02/19/19, 61.312, 62.3088, 61.094, 61.128, 20842214.6873668
02/15/19, 60.90, 61.60, 60.78, 61.576, 19524734.707129
02/14/19, 60.676, 61.354, 60.20, 60.754, 26004159.6099376
02/13/19, 62.47, 62.55, 61.114, 61.634, 25708084.6143787
02/12/19, 63.24, 63.638, 61.924, 62.362, 27587849.5861823
02/11/19, 62.32, 63.72, 62.10, 62.568, 35648564.4652715
02/08/19, 61.366, 61.489, 59.70, 61.16, 29221059.5616841
02/07/19, 62.66, 62.94, 60.60, 61.502, 32603054.5109542
02/06/19, 63.918, 64.848, 63.1248, 63.444, 25192729.6221091
02/05/19, 62.498, 64.488, 62.4499, 64.27, 33713824.4942926
02/04/19, 62.596, 63.06, 60.376, 62.578, 36760409.4485939
02/01/19, 61.084, 63.22, 60.70, 62.442, 36417204.4537419
01/31/19, 60.20, 62.3127, 58.80, 61.404, 62846249.0573063
01/30/19, 60.09, 61.80, 59.698, 61.754, 56251599.156226
01/29/19, 59.054, 59.7113, 58.36, 59.492, 23108459.6533731
01/28/19, 58.582, 59.492, 57.55, 59.276, 32116394.5182541
01/25/19, 58.878, 59.7039, 57.91, 59.408, 36290389.4556442
01/24/19, 56.606, 58.736, 55.8566, 58.302, 40060774.3990884
01/23/19, 58.50, 58.90, 56.338, 57.518, 62649949.0602508
01/22/19, 60.964, 61.60, 59.10, 59.784, 60333699.0949945
01/18/19, 64.60, 65.4259, 59.946, 60.452, 120753798.188693
01/17/19, 69.242, 70.30, 68.83, 69.462, 18383664.724245
01/16/19, 68.956, 70.40, 68.70, 69.21, 23458694.6481196
01/15/19, 67.00, 69.76, 66.90, 68.886, 30282949.5457558
01/14/19, 68.476, 68.50, 66.80, 66.88, 26236419.6064537
01/11/19, 68.418, 69.682, 67.754, 69.452, 25195259.6220711
01/10/19, 66.88, 69.078, 66.358, 68.994, 30281769.5457735
01/09/19, 67.10, 68.7005, 66.294, 67.706, 27164724.5925291
01/08/19, 68.392, 68.802, 65.404, 67.07, 35042579.4743613
01/07/19, 64.344, 67.348, 63.5502, 66.992, 37756124.4336581
01/04/19, 61.20, 63.60, 60.546, 63.538, 36970579.4454413
01/03/19, 61.40, 61.88, 59.476, 60.072, 34825919.4776112
01/02/19, 61.22, 63.026, 59.76, 62.024, 58293249.1256013
12/31/18, 67.558, 67.842, 65.052, 66.56, 31511689.5273247
12/28/18, 64.62, 67.248, 63.682, 66.774, 49694959.2545756
12/27/18, 63.968, 64.4343, 60.30, 63.226, 42875664.356865
12/26/18, 60.00, 65.394, 58.818, 65.218, 40815689.3877647
12/24/18, 62.70, 62.90, 59.039, 59.078, 27799564.5830065
12/21/18, 63.48, 64.694, 62.488, 63.954, 40084004.3987399
12/20/18, 65.4108, 66.058, 62.3738, 63.076, 45359289.3196107
12/19/18, 67.52, 69.402, 65.948, 66.594, 41370904.3794364
12/18/18, 70.108, 70.31, 66.738, 67.406, 35499999.4675
12/17/18, 72.40, 73.14, 68.776, 69.684, 38370039.4244494
12/14/18, 75.00, 75.574, 72.866, 73.142, 31687774.5246834
12/13/18, 74.03, 75.488, 73.35, 75.358, 36829269.447561
12/12/18, 73.884, 74.382, 73.032, 73.32, 25135239.6229714
12/11/18, 73.982, 74.4338, 72.046, 73.352, 31543844.5268423
12/10/18, 72.00, 73.196, 70.624, 73.03, 33067274.5039909
12/07/18, 73.80, 75.898, 71.53, 71.593, 57555899.1366615
12/06/18, 71.202, 73.476, 70.152, 72.612, 39212539.4118119
12/04/18, 71.21, 73.736, 70.40, 71.94, 42309724.3653541
12/03/18, 72.00, 73.20, 70.40, 71.698, 41532559.3770116
11/30/18, 68.366, 70.32, 67.653, 70.096, 28144474.5778329
11/29/18, 69.40, 69.50, 67.91, 68.234, 15403619.7689457
11/28/18, 69.198, 69.656, 68.442, 69.574, 20637889.6904317
11/27/18, 68.01, 69.392, 67.10, 68.784, 31791499.5231275
11/26/18, 65.00, 69.244, 65.00, 69.20, 39960704.4005894
11/23/18, 66.869, 67.50, 65.11, 65.166, 21013209.6848019
11/21/18, 70.40, 70.62, 67.4799, 67.638, 23434039.6484894
11/20/18, 68.35, 69.96, 66.71, 69.498, 40023544.3996468
11/19/18, 71.268, 73.35, 70.576, 70.694, 48544354.2718347
11/16/18, 69.038, 71.14, 69.024, 70.862, 36030954.4595357
11/15/18, 68.466, 69.716, 67.808, 69.688, 23128594.6530711
11/14/18, 68.54, 69.422, 67.43, 68.80, 25201434.6219785
11/13/18, 66.632, 68.94, 66.44, 67.746, 27242984.5913552
11/12/18, 69.674, 69.956, 66.068, 66.256, 34707614.4793858
11/09/18, 69.80, 70.80, 69.046, 70.102, 25494229.6175866
11/08/18, 69.70, 71.5151, 69.688, 70.28, 35453364.4681995
11/07/18, 68.668, 70.236, 68.16, 69.632, 36872604.4469109
11/06/18, 67.814, 69.76, 67.218, 68.212, 33814444.4927833
11/05/18, 68.10, 68.791, 66.028, 68.28, 39155239.4126714
11/02/18, 68.748, 69.84, 68.182, 69.282, 39039859.4144021
11/01/18, 67.652, 69.568, 66.945, 68.856, 40000659.3999901
10/31/18, 66.508, 68.40, 65.82, 67.464, 38121739.4281739
10/30/18, 65.678, 67.58, 64.452, 65.98, 45633519.3154972
10/29/18, 67.494, 69.432, 65.30, 66.97, 72430153.9135477
10/26/18, 61.65, 67.98, 61.33, 66.18, 137127597.943086
10/25/18, 63.444, 64.20, 60.202, 62.972, 104203603.436946
10/24/18, 60.21, 60.888, 57.146, 57.70, 100291298.495631
10/23/18, 52.774, 59.586, 52.42, 58.828, 95138748.5729188
10/22/18, 52.136, 52.372, 50.518, 52.19, 28001299.5799805
10/19/18, 53.478, 53.932, 50.70, 52.00, 46877744.2968338
10/18/18, 53.858, 54.20, 52.60, 52.782, 27105919.5934112
10/17/18, 56.48, 56.54, 53.1606, 54.356, 43277709.3508344
10/16/18, 53.14, 55.475, 52.448, 55.318, 47632004.2855199
